安祥,安详,2
重迭,重叠,2
粗旷,粗犷,2
蜂涌,蜂拥,2
甘败下风,甘拜下风,2
渡假村,度假村,1
针贬,针砭,2
复盖,覆盖,1
三步曲,三部曲,2
防碍,妨碍,1
震憾,震撼,2
复灭,覆灭,1
食不裹腹,食不果腹,3
幅射,辐射,1
凑和,凑合,2
松驰,松弛,2
泊来品,舶来品,1
一幅对联,一副对联,2
脉博,脉搏,2
按步就班,按部就班,2
天翻地复,天翻地覆,4
迫不急待,迫不及待,3
欣尝,欣赏,2
指手划脚,指手画脚,3
言简意骇,言简意赅,4
既使,即使,1
迷团,谜团,1
一愁莫展,一筹莫展,2
气慨,气概,2
追朔,追溯,2
精萃,精粹,2
穿流不息,川流不息,1
一股作气,一鼓作气,2
草管人命,草菅人命,2
偶而,偶尔,2
哈蜜瓜,哈密瓜,2
悬梁刺骨,悬梁刺股,4
娇柔造作,矫揉造作,12
善长,擅长,1
挖墙角,挖墙脚,3
再接再励,再接再厉,4
萎糜不振,萎靡不振,2
迁徒,迁徙,2
一诺千斤,一诺千金,4
老俩口,老两口,2
沉缅,沉湎,2
打腊,打蜡,2
不径而走,不胫而走,2
黄梁美梦,黄粱美梦,2
名信片,明信片,1
做月子,坐月子,1
了望,瞭望,1
默守成规,墨守成规,1
颂读,诵读,1
爱滋病,艾滋病,1
大姆指,大拇指,2
人材,人才,2
烩炙人口,脍炙人口,1
杀戳,杀戮,2
沤心沥血,呕心沥血,1
座落,坐落,1
洁白无暇,洁白无瑕,4
痉孪,痉挛,2
凭添,平添,1
雾淞,雾凇,2
死皮癞脸,死皮赖脸,3
美仑美奂,美轮美奂,2
出奇不意,出其不意,2
精减,精简,2
兰天白云,蓝天白云,1
修茸,修葺,2
增殖,增值,2
鼎立相助,鼎力相助,2
蛛丝蚂迹,蛛丝马迹,3
亲睐,青睐,1
蹚水,趟水,1
磬竹难书,罄竹难书,1
一如继往,一如既往,3
弦律,旋律,1
装祯,装帧,2
入场卷,入场券,3
鬼鬼崇崇,鬼鬼祟祟,34
膺品,赝品,1
发韧,发轫,2
声名雀起,声名鹊起,3
金榜提名,金榜题名,3
渲泄,宣泄,1
夜霄,夜宵,2
笑咪咪,笑眯眯,23
走头无路,走投无路,2
寒喧,寒暄,2
元霄,元宵,2
常年累月,长年累月,1
趋之若骛,趋之若鹜,4
涸泽而鱼,涸泽而渔,4
九宵,九霄,2
公诸于众,公之于众,2
滥芋充数,滥竽充数,2
萤光,荧光,1
谈笑风声,谈笑风生,4
世外桃园,世外桃源,4
急燥,急躁,2
人情事故,人情世故,3
脏款,赃款,1
坐阵,坐镇,2
有持无恐,有恃无恐,2
不能自己,不能自已,4
迴然不同,迥然不同,1
就序,就绪,2
额首称庆,额手称庆,2
姿意妄为,恣意妄为,1
弹精竭虑,殚精竭虑,1
九洲,九州,2
旁证博引,旁征博引,2
雄奇俊拔,雄奇峻拔,3
张惶失措,张皇失措,2
俏然,悄然,1
饮鸠止渴,饮鸩止渴,2
身体姿式,身体姿势,4
峻工,竣工,1
了了无几,寥寥无几,12
床第之私,床笫之私,2
编篡,编纂,2
名符其实,名副其实,2
老声常谈,老生常谈,2
格守,恪守,1
灸手可热,炙手可热,1
维妙维肖,惟妙惟肖,13
开天劈地,开天辟地,3
蜇伏,蛰伏,1
宁缺勿滥,宁缺毋滥,3
表帅,表率,2
和霭可亲,和蔼可亲,2
哀声叹气,唉声叹气,1
按装机器,安装机器,1
暗然销魂,黯然销魂,1
暗然失色,黯然失色,1
道理深粤,道理深奥,4
佶屈骛牙,佶屈聱牙,3
飞扬拔扈,飞扬跋扈,3
纵横俾阖,纵横捭阖,3
裨官野史,稗官野史,1
板上走丸,坂上走丸,1
略见一般,略见一斑,4
搬门弄斧,班门弄斧,1
拌脚之石,绊脚之石,1
班驳陆离,斑驳陆离,1
比分板平,比分扳平,3
安帮定国,安邦定国,2
气势滂礴,气势磅礴,3
自曝自弃,自暴自弃,2
英雄倍出,英雄辈出,3
并行不背,并行不悖,4
艰苦倍尝,艰苦备尝,3
关怀倍至,关怀备至,3
抔水车薪,杯水车薪,1
刚腹自用,刚愎自用,2
民生凋蔽,民生凋敝,4
遮天避日,遮天蔽日,3
大有稗益,大有裨益,3
完壁归赵,完璧归赵,2
白壁微瑕,白璧微瑕,2
金壁辉煌,金碧辉煌,2
锋芒必露,锋芒毕露,3
比彼皆是,比比皆是,2
奴颜卑膝,奴颜婢膝,3
蓬壁生辉,蓬荜生辉,2
麻庳大意,麻痹大意,2
明辩是非,明辨是非,2
辨证理论,辩证理论,1
针贬时弊,针砭时弊,2
按步就班,按部就班,2
布署已定,部署已定,1
毕路蓝缕,筚路蓝缕,1
相辅相承,相辅相成,4
一张一驰,一张一弛,4
残无人道,惨无人道,1
窜改政策,篡改政策,1
明查秋毫,明察秋毫,2
酒中渗水,酒中掺水,3
为虎作帐,为虎作伥,4
扬常而去,扬长而去,2
老生长谈,老生常谈,3
天崩地折,天崩地坼,4
清沏见底,清澈见底,2
城惶诚恐,诚惶诚恐,1
